ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
GB00BMC7T380	GBX	166	211	476952	561250	19.981046310739863	16.979955456570156	9530000	9530000
GB00BM8H3X05	GBX	203	234	361507	285991	38.45015449216751	48.532995793573924	13900000	13880000
GB00BLSNND18	GBX	230	251	47846	46789	2466.2458721732223	2532.6465622261644	118000000	118500000
GB00BL6C2002	GBX	143	126	611631	187211	22.055781999277343	70.82917136279386	13490000	13260000
GB00BKS7YK08	GBX	3	0	183	0	438251.3661202186	0	80200000	0
GB00BKP36R26	GBX	114	74	343229	277127	21.530814703885746	26.522136060362218	7390000	7350000
GB00BK96BB68	GBX	150	146	95155	182186	252.7455204666071	132.2823927195284	24050000	24100000
GB00BJP5HK17	GBX	255	220	891362	680328	13.484981410470718	17.40337013910937	12020000	11840000
GB00BJL5F346	GBX	116	140	85097	87984	486.50363702598213	464.8572467721404	41400000	40900000
GB00BJGTLF51	GBX	141	130	433814	420111	26.27854333885029	27.088079102903755	11400000	11380000
GB00BJFLFT45	GBX	159	179	382304	364015	28.45902737088809	29.83393541474939	10880000	10860000
DE0007164600	EUR	138	222	4698	35058	1977.4372073222648	271.69262365223346	9290000	9525000
GB00BJDQQ870	GBX	191	153	58390	50424	1483.986984072615	1706.5286371569093	86650000	86050000
GB00BJ00Z303	GBX	40	67	3479	20293	8939.350388042541	1527.6203617010792	31100000	31000000
GB00BHJVQ590	GBX	183	309	427497	591531	21.707754674301807	15.755725397316455	9280000	9320000
GB00BGHVZM47	GBX	167	179	387077	405526	31.41493811308861	29.8871095811366	12160000	12120000
GB00BG382L74	GBX	138	121	391089	364000	24.39342451462455	26.043956043956044	9540000	9480000
GB00B8C3BL03	GBX	977	1238	301937	384956	245.28295637831732	190.77504961606002	74060000	73440000
GB00BG0P0V73	GBX	130	90	543021	384027	22.209085836459362	31.664440260710837	12060000	12160000
GB00BF4HYV08	GBX	169	221	35699	228963	1848.7912826689824	286.5091739713404	66000000	65600000
GB00BD9PXH49	GBX	96	93	232135	255513	45.40461369461735	41.015525628832975	10540000	10480000
GB00B9XQT119	GBX	133	124	199187	182858	75.20571121609342	80.93712060724715	14980000	14800000
GB00B6VTTK07	GBX	143	122	58186	47591	1287.2512288179287	1578.029459351558	74900000	75100000
DE0007037129	EUR	34	0	24072	0	166.16816218012627	0	4000000	0
GB00B6832P16	GBX	24	24	2400	2400	13375.0	13541.666666666666	32100000	32500000
GB00B0P6J834	GBX	24	24	1440	1440	15069.444444444445	15208.333333333334	21700000	21900000
GB00B0KM9T71	GBX	297	141	111154	89030	338.2694280007917	419.52150960350446	37600000	37350000
GB00B0FYMT95	GBX	152	81	54281	59660	704.666457876605	626.8856855514582	38250000	37400000
GB00B0CRWN59	GBX	207	179	131387	117682	198.64979031411022	221.35925630087863	26100000	26050000
GB00B7T77214	GBX	1007	1221	1444804	1640537	18.154711642548055	15.775322348718742	26230000	25880000
GB00B01RDH75	GBX	23	34	2094	2394	22946.513849092647	20091.896407685883	48050000	48100000
GB00B01HM147	GBX	137	152	648621	684125	8.556614725702683	8.083318107071076	5550000	5530000
GB0031429219	GBX	178	204	116007	108079	679.2693544355081	725.3953126879412	78800000	78400000
